EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,HourlyRate,JobLevel,JobRole,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobCategory,Education_Text,EnvironmentSat_Text,JobInvolvement_Text,JobSatisfaction_Text,PerformanceRating_Text,RelationshipSat_Text,WorkLifeBalance_Text
12,38,No,Travel_Frequently,216,Research & Development,23,Life Sciences,1,Male,44,3,Manufacturing Director,Single,9526,8787,0,Y,No,21,80,0,10,2,9,7,1,8,Leadership,Bachelor,Very High,Medium,High,Outstandingß,Medium,Better
20,29,No,Travel_Rarely,1389,Research & Development,21,Life Sciences,1,Female,51,3,Manufacturing Director,Divorced,9980,10195,1,Y,No,11,80,1,10,1,10,9,8,8,Leadership,Master,Medium,Very High,Low,Excellent,High,Better
23,53,No,Travel_Rarely,1219,Sales,2,Life Sciences,1,Female,78,4,Manager,Married,15427,22021,2,Y,No,16,80,0,31,3,25,8,3,7,Leadership,Master,Low,Medium,Very High,Excellent,High,Better
26,24,No,Non-Travel,673,Research & Development,11,Other,1,Female,96,2,Manufacturing Director,Divorced,4011,8232,0,Y,No,18,80,1,5,5,4,2,1,3,Leadership,College,Low,Very High,High,Excellent,Very High,Good
28,34,No,Travel_Rarely,419,Research & Development,7,Life Sciences,1,Female,53,3,Research Director,Single,11994,21293,0,Y,No,11,80,0,13,4,12,6,2,11,Leadership,Master,Low,High,Medium,Excellent,High,Better
32,53,No,Travel_Rarely,1282,Research & Development,5,Other,1,Female,58,5,Manager,Divorced,19094,10735,4,Y,No,11,80,1,26,3,14,13,4,8,Leadership,Bachelor,High,High,High,Excellent,Very High,Good
38,46,No,Travel_Rarely,705,Sales,2,Marketing,1,Female,83,5,Manager,Single,18947,22822,3,Y,No,12,80,0,22,2,2,2,2,1,Leadership,Master,Medium,High,Low,Excellent,Very High,Good
58,41,Yes,Travel_Rarely,1360,Research & Development,12,Technical Degree,1,Female,49,5,Research Director,Married,19545,16280,1,Y,No,12,80,0,23,0,22,15,15,8,Leadership,Bachelor,Medium,High,High,Excellent,Very High,Better
73,33,No,Travel_Frequently,515,Research & Development,1,Life Sciences,1,Female,98,3,Research Director,Single,13458,15146,1,Y,Yes,12,80,0,15,1,15,14,8,12,Leadership,College,Low,High,Very High,Excellent,High,Better
77,37,No,Travel_Rarely,1115,Research & Development,1,Life Sciences,1,Male,51,2,Manufacturing Director,Divorced,5993,2689,1,Y,No,18,80,1,7,2,7,5,0,7,Leadership,Master,Low,Medium,High,Excellent,High,Bestß
78,32,No,Travel_Rarely,427,Research & Development,1,Medical,1,Male,33,2,Manufacturing Director,Married,6162,10877,1,Y,Yes,22,80,1,9,3,9,8,7,8,Leadership,Bachelor,Low,High,Very High,Outstandingß,Medium,Better
80,50,No,Travel_Rarely,989,Research & Development,7,Medical,1,Female,43,5,Research Director,Divorced,18740,16701,5,Y,Yes,12,80,1,29,2,27,3,13,8,Leadership,College,Medium,Medium,High,Excellent,Very High,Good
84,55,No,Travel_Rarely,836,Research & Development,8,Medical,1,Female,33,4,Manager,Divorced,14756,19730,2,Y,Yes,14,80,3,21,2,5,0,0,2,Leadership,Bachelor,Very High,High,High,Excellent,High,Better
85,36,No,Travel_Frequently,1195,Research & Development,11,Life Sciences,1,Male,95,2,Manufacturing Director,Single,6499,22656,1,Y,No,13,80,0,6,3,6,5,0,3,Leadership,Bachelor,Medium,Medium,Medium,Excellent,High,Better
98,31,No,Travel_Rarely,746,Research & Development,8,Life Sciences,1,Female,61,2,Manufacturing Director,Single,4424,20682,1,Y,No,23,80,0,11,2,11,7,1,8,Leadership,Master,High,High,Very High,Outstandingß,Very High,Better
101,45,No,Travel_Rarely,193,Research & Development,6,Other,1,Male,52,3,Research Director,Married,13245,15067,4,Y,Yes,14,80,0,17,3,0,0,0,0,Leadership,Master,Very High,High,Low,Excellent,Medium,Bestß
102,37,No,Travel_Rarely,397,Research & Development,7,Medical,1,Male,30,3,Research Director,Single,13664,25258,4,Y,No,13,80,0,16,3,5,2,0,2,Leadership,Master,Low,High,High,Excellent,Low,Bestß
110,34,No,Travel_Rarely,1153,Research & Development,1,Medical,1,Male,94,2,Manufacturing Director,Married,4325,17736,1,Y,No,15,80,0,5,2,5,2,1,3,Leadership,College,Low,High,Medium,Excellent,High,Better
112,56,No,Travel_Rarely,1400,Research & Development,7,Life Sciences,1,Male,49,3,Manufacturing Director,Single,7260,21698,4,Y,No,11,80,0,37,3,6,4,0,2,Leadership,Bachelor,Very High,Low,Very High,Excellent,Low,Good
126,54,No,Travel_Rarely,1217,Research & Development,2,Technical Degree,1,Female,60,3,Research Director,Married,13549,24001,9,Y,No,12,80,1,16,5,4,3,0,3,Leadership,Master,Low,High,High,Excellent,Low,Bad
140,59,No,Non-Travel,1420,Human Resources,2,Human Resources,1,Female,32,5,Manager,Married,18844,21922,9,Y,No,21,80,1,30,3,3,2,2,2,Leadership,Master,High,Medium,Very High,Outstandingß,Very High,Better
141,50,No,Travel_Frequently,1115,Research & Development,1,Life Sciences,1,Female,73,5,Research Director,Married,18172,9755,3,Y,Yes,19,80,0,28,1,8,3,0,7,Leadership,Bachelor,Low,High,Medium,Excellent,Low,Good
148,54,No,Non-Travel,142,Human Resources,26,Human Resources,1,Female,30,4,Manager,Single,17328,13871,2,Y,Yes,12,80,0,23,3,5,3,4,4,Leadership,Bachelor,Very High,Very High,Very High,Excellent,High,Better
153,34,No,Travel_Rarely,1354,Research & Development,5,Medical,1,Female,45,3,Manager,Single,11631,5615,2,Y,No,12,80,0,14,6,11,10,5,8,Leadership,Bachelor,High,Medium,Low,Excellent,Very High,Better
158,43,No,Travel_Frequently,394,Sales,26,Life Sciences,1,Male,92,4,Manager,Married,16959,19494,1,Y,Yes,12,80,2,25,3,25,12,4,12,Leadership,College,High,High,Very High,Excellent,Very High,Bestß
162,51,No,Travel_Rarely,684,Research & Development,6,Life Sciences,1,Male,51,5,Research Director,Single,19537,6462,7,Y,No,13,80,0,23,5,20,18,15,15,Leadership,Bachelor,Low,High,High,Excellent,High,Better
170,49,No,Travel_Rarely,470,Research & Development,20,Medical,1,Female,96,2,Manufacturing Director,Married,6567,5549,1,Y,No,14,80,0,16,2,15,11,5,11,Leadership,Master,High,High,Low,Excellent,High,Good
178,36,No,Travel_Rarely,216,Research & Development,6,Medical,1,Male,84,2,Manufacturing Director,Divorced,4941,2819,6,Y,No,20,80,2,7,0,3,2,0,1,Leadership,College,Medium,High,Medium,Outstandingß,Very High,Better
179,51,Yes,Travel_Frequently,1150,Research & Development,8,Life Sciences,1,Male,53,3,Manufacturing Director,Single,10650,25150,2,Y,No,15,80,0,18,2,4,2,0,3,Leadership,Master,Low,Low,Very High,Excellent,Very High,Better
199,41,No,Travel_Frequently,857,Research & Development,10,Life Sciences,1,Male,91,4,Manager,Divorced,17181,12888,4,Y,No,13,80,1,21,2,7,6,7,7,Leadership,Bachelor,Very High,Medium,Low,Excellent,Medium,Good
208,29,No,Non-Travel,1496,Research & Development,1,Technical Degree,1,Male,41,2,Manufacturing Director,Married,4319,26283,1,Y,No,13,80,1,10,1,10,7,0,9,Leadership,Below College,Very High,High,High,Excellent,Low,Better
211,51,No,Travel_Rarely,1169,Research & Development,7,Medical,1,Male,34,2,Manufacturing Director,Married,6132,13983,2,Y,No,17,80,0,10,2,1,0,0,0,Leadership,Master,Medium,Medium,High,Excellent,High,Better
226,50,No,Travel_Rarely,1452,Research & Development,11,Life Sciences,1,Female,53,5,Manager,Single,19926,17053,3,Y,No,15,80,0,21,5,5,4,4,4,Leadership,Bachelor,High,High,Medium,Excellent,Medium,Better
250,53,No,Travel_Rarely,1084,Research & Development,13,Medical,1,Female,57,2,Manufacturing Director,Divorced,4450,26250,1,Y,No,11,80,2,5,3,4,2,1,3,Leadership,College,Very High,Very High,Low,Excellent,High,Better
