EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,Medium,Female,94,High,2,Sales Executive,Very High,Single,5993,19479,8,Yes,11,Excellent,1,0,8,0,Bad,6,4,0,5
27,36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,High,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,No,23,Outstanding,2,0,10,4,Better,5,3,0,3
35,42,No,Travel_Rarely,691,Sales,8,Master,Marketing,High,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0,No,11,Excellent,4,1,10,2,Better,9,7,4,2
42,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,2,Sales Representative,Very High,Married,2086,3335,3,No,14,Excellent,3,1,19,6,Best,1,0,0,0
47,50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,Low,Male,86,Medium,1,Sales Representative,High,Married,2683,3810,1,Yes,14,Excellent,3,0,3,2,Better,3,2,0,2
49,35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Very High,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,No,13,Excellent,1,0,2,3,Better,2,2,2,2
52,33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,High,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2,No,19,Excellent,1,2,10,3,Better,5,3,1,3
56,27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Very High,Male,37,High,3,Sales Executive,High,Single,8726,2975,1,No,15,Excellent,4,0,9,0,Better,9,8,1,7
60,34,No,Non-Travel,1065,Sales,23,Master,Marketing,Medium,Male,72,High,2,Sales Executive,High,Single,4568,10034,0,No,20,Outstanding,3,0,10,2,Better,9,5,8,7
62,46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,Low,Male,98,High,2,Sales Executive,Very High,Single,5772,20445,4,Yes,21,Outstanding,3,0,14,4,Better,9,6,0,8
68,44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Medium,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Outstanding,3,1,9,2,Good,4,3,1,3
72,26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,High,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7,Yes,19,Excellent,3,1,5,2,Good,2,2,0,0
74,35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,Medium,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1,No,22,Outstanding,4,1,9,3,Good,9,8,1,8
81,59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,Low,Female,99,High,3,Sales Executive,Low,Single,7637,2354,7,No,11,Excellent,4,0,28,3,Good,21,16,7,9
91,59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,Low,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7,No,11,Excellent,4,0,20,2,Good,4,3,1,3
100,35,No,Travel_Rarely,776,Sales,1,Master,Marketing,High,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0,No,14,Excellent,2,0,16,2,Better,15,13,2,8
103,46,No,Travel_Rarely,945,Human Resources,5,College,Medical,Medium,Male,80,High,2,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Outstanding,4,1,16,2,Better,4,2,0,2
106,55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,Low,Male,70,High,3,Sales Executive,Very High,Married,10239,18092,3,No,14,Excellent,4,1,24,4,Better,1,0,1,0
113,23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,High,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3,No,13,Excellent,3,1,3,3,Better,0,0,0,0
118,46,Yes,Travel_Rarely,669,Sales,9,College,Medical,High,Male,64,Medium,3,Sales Executive,Very High,Single,9619,13596,1,No,16,Excellent,4,0,9,3,Better,9,8,4,7
120,51,No,Travel_Rarely,632,Sales,21,Master,Marketing,High,Male,71,High,2,Sales Executive,Very High,Single,5441,8423,0,Yes,22,Outstanding,4,0,11,2,Bad,10,7,1,0
121,30,No,Travel_Rarely,1334,Sales,4,College,Medical,High,Female,63,Medium,2,Sales Executive,Medium,Divorced,5209,19760,1,Yes,12,Excellent,2,3,11,4,Good,11,8,2,7
125,32,No,Travel_Rarely,1093,Sales,6,Master,Medical,Medium,Male,87,High,2,Sales Executive,High,Single,5010,24301,1,No,16,Excellent,1,0,12,0,Better,11,8,5,7
128,24,No,Travel_Rarely,1353,Sales,3,College,Other,Low,Female,33,High,2,Sales Executive,High,Married,4999,17519,0,No,21,Outstanding,1,1,4,2,Good,3,2,0,2
129,28,No,Non-Travel,120,Sales,4,Bachelor,Medical,Medium,Male,43,High,2,Sales Executive,High,Married,4221,8863,1,No,15,Excellent,2,0,5,3,Best,5,4,0,4
131,58,No,Travel_Rarely,682,Sales,10,Master,Medical,Very High,Male,37,High,4,Sales Executive,High,Single,13872,24409,0,No,13,Excellent,3,0,38,1,Good,37,10,1,8
133,37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,High,Male,63,High,1,Human Resources,Low,Divorced,2073,23648,4,Yes,22,Outstanding,4,0,7,3,Better,3,2,0,2
142,25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,High,Male,46,Medium,2,Sales Executive,High,Single,5744,26959,1,Yes,11,Excellent,4,0,6,1,Better,6,4,0,3
