EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2,49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,High,Male,61,Medium,2,Research Scientist,Medium,Married,5130,24907,1,No,23,Outstanding,4,1,10,3,Better,10,7,1,7
4,37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,Very High,Male,92,Medium,1,Laboratory Technician,High,Single,2090,2396,6,Yes,15,Excellent,2,0,7,3,Better,0,0,0,0
5,33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Very High,Female,56,High,1,Research Scientist,High,Married,2909,23159,1,Yes,11,Excellent,3,0,8,3,Better,8,7,3,0
7,27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,Low,Male,40,High,1,Laboratory Technician,Medium,Married,3468,16632,9,No,12,Excellent,4,1,6,3,Better,2,2,2,2
8,32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,Very High,Male,79,High,1,Laboratory Technician,Very High,Single,3068,11864,0,No,13,Excellent,3,0,8,2,Good,7,7,3,6
10,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,High,Female,81,Very High,1,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Outstanding,1,3,12,3,Good,1,0,0,0
11,30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,Very High,Male,67,High,1,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Outstanding,2,1,1,2,Better,1,0,0,0
13,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,High,Male,94,High,2,Healthcare Representative,High,Married,5237,16577,6,No,13,Excellent,2,2,17,3,Good,7,7,7,7
14,35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Low,Male,84,Very High,1,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Excellent,3,1,6,5,Better,5,4,0,3
15,29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,Very High,Female,49,Medium,2,Laboratory Technician,High,Single,4193,12682,0,Yes,12,Excellent,4,0,10,3,Better,9,5,0,8
16,31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Low,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1,No,17,Excellent,4,1,5,1,Good,5,2,4,3
18,34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,Medium,Male,93,High,1,Laboratory Technician,Very High,Divorced,2661,8758,0,No,11,Excellent,3,1,3,2,Better,2,2,1,2
19,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,High,Male,50,Medium,1,Laboratory Technician,High,Single,2028,12947,5,Yes,14,Excellent,2,0,6,4,Better,4,2,0,3
21,32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,Low,Male,80,Very High,1,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,Excellent,4,2,7,5,Good,6,2,0,5
22,22,No,Non-Travel,1123,Research & Development,16,College,Medical,Very High,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,13,Excellent,2,2,1,2,Good,1,0,0,0
24,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,Very High,Male,45,High,1,Research Scientist,Very High,Single,3944,4306,5,Yes,11,Excellent,3,0,6,3,Better,3,2,1,2
30,21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,High,Male,96,High,1,Research Scientist,Very High,Single,1232,19281,1,No,14,Excellent,4,0,0,6,Better,0,0,0,0
31,34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,Medium,Male,83,High,1,Research Scientist,Low,Single,2960,17102,2,No,11,Excellent,3,0,8,2,Better,4,2,1,3
33,32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Medium,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Yes,22,Outstanding,2,0,10,5,Better,10,2,6,7
36,44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,Low,Female,42,Medium,3,Healthcare Representative,Very High,Married,10248,2094,3,No,14,Excellent,4,1,24,4,Better,22,6,5,17
39,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,High,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4,No,11,Excellent,4,0,7,3,Better,1,1,0,0
40,44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,Very High,Male,41,High,2,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,Excellent,4,0,9,5,Best,4,2,1,3
41,30,No,Travel_Rarely,125,Research & Development,9,College,Medical,Very High,Male,83,Medium,1,Laboratory Technician,High,Single,2206,16117,1,No,13,Excellent,1,0,10,5,Better,10,0,1,8
45,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2,Yes,16,Excellent,1,1,6,2,Good,2,0,2,0
46,43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,Very High,Female,72,Very High,1,Research Scientist,High,Divorced,2645,21923,1,No,12,Excellent,4,2,6,3,Good,5,3,1,4
51,36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,Medium,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,9,Yes,14,Excellent,4,1,6,3,Best,1,1,0,0
53,35,No,Travel_Rarely,464,Research & Development,4,College,Other,High,Male,75,High,1,Laboratory Technician,Very High,Divorced,1951,10910,1,No,12,Excellent,3,1,1,3,Better,1,0,0,0
54,27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,1,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,Excellent,4,1,1,6,Better,1,0,0,0
55,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,Low,Male,48,Low,1,Laboratory Technician,High,Single,2293,10558,1,No,12,Excellent,3,0,1,2,Good,1,0,0,1
57,30,No,Travel_Frequently,721,Research & Development,1,College,Medical,High,Female,58,High,2,Laboratory Technician,Very High,Single,4011,10781,1,No,23,Outstanding,4,0,12,2,Better,12,8,3,7
61,37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,Medium,Male,73,High,1,Research Scientist,Medium,Married,3022,10227,4,No,21,Outstanding,1,0,8,1,Better,1,0,0,0
63,35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1,No,19,Excellent,4,0,1,2,Better,1,0,0,1
64,48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,Low,Male,98,Medium,3,Laboratory Technician,High,Single,5381,19294,9,Yes,13,Excellent,4,0,23,2,Better,1,0,0,0
65,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,High,Male,50,High,1,Laboratory Technician,High,Single,3441,11179,1,Yes,13,Excellent,3,0,2,3,Good,2,2,2,2
70,35,No,Non-Travel,1097,Research & Development,11,College,Medical,High,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,Excellent,3,1,10,3,Better,4,0,2,3
75,35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,High,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,Excellent,3,1,4,3,Better,2,2,2,2
76,31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,Very High,Male,48,High,2,Laboratory Technician,Very High,Divorced,5915,9528,3,No,22,Outstanding,4,1,10,3,Good,7,7,1,7
79,38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,Very High,Female,50,High,2,Laboratory Technician,Very High,Single,2406,5456,1,No,11,Excellent,4,0,10,2,Better,10,3,9,9
83,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,High,Female,59,High,3,Healthcare Representative,High,Divorced,10096,8202,1,No,13,Excellent,2,3,17,2,Better,17,14,12,8
86,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,Medium,Male,59,High,3,Research Scientist,Low,Divorced,9724,18787,2,No,17,Excellent,3,1,25,2,Better,1,0,0,0
138,34,No,Travel_Rarely,665,Research & Development,6,Master,Other,Low,Female,41,High,2,Research Scientist,High,Single,4809,12482,1,No,14,Excellent,3,0,16,3,Better,16,13,2,10
88,35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,Medium,Male,79,High,1,Research Scientist,Low,Married,2194,5868,4,No,13,Excellent,4,1,5,2,Good,3,2,1,2
90,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Very High,Male,79,Medium,1,Research Scientist,High,Married,3388,21777,0,Yes,17,Excellent,1,1,2,0,Good,1,0,0,0
94,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,High,Male,76,High,1,Research Scientist,Medium,Married,2703,4956,0,No,23,Outstanding,4,1,6,3,Better,5,4,0,4
95,31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,High,Male,87,High,1,Research Scientist,Medium,Single,2501,18775,1,No,17,Excellent,2,0,1,4,Better,1,1,1,0
96,32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,Medium,Male,66,High,2,Research Scientist,Medium,Married,6220,7346,1,No,17,Excellent,2,2,10,3,Better,10,4,0,9
97,36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,Medium,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3,No,12,Excellent,2,0,5,3,Better,1,0,0,0
104,30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Very High,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,Excellent,3,2,10,1,Good,10,8,3,0
105,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,Medium,Male,30,Medium,1,Research Scientist,High,Single,2859,26278,1,No,18,Excellent,1,0,6,3,Better,6,4,0,4
107,38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,Excellent,4,3,17,3,Better,13,11,1,9
116,51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,Very High,Male,96,High,1,Laboratory Technician,Very High,Married,2075,18725,3,No,23,Outstanding,2,2,10,4,Better,4,2,0,3
117,30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,High,Male,99,Medium,2,Healthcare Representative,Very High,Married,4152,15830,1,No,19,Excellent,1,3,11,3,Better,11,10,10,8
119,40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,High,Male,78,Medium,4,Healthcare Representative,Medium,Married,13503,14115,1,No,22,Outstanding,4,1,22,3,Good,22,3,11,11
124,46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,High,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,Excellent,3,1,21,5,Good,10,9,9,5
132,44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,Medium,Male,67,High,2,Laboratory Technician,Medium,Married,2042,25043,4,No,12,Excellent,3,1,17,3,Best,3,2,1,2
134,32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,Very High,Male,71,High,1,Research Scientist,Low,Single,2956,15178,1,No,13,Excellent,4,0,1,2,Better,1,0,0,0
137,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Very High,Female,66,Medium,1,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,Excellent,2,0,1,5,Better,1,0,1,0
139,37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,High,Male,100,Medium,2,Healthcare Representative,Very High,Divorced,5163,15850,5,No,14,Excellent,4,1,17,2,Best,1,0,0,0
143,25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,2889,26897,1,No,11,Excellent,3,2,2,2,Better,2,2,2,1
144,22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,Medium,Female,59,High,1,Laboratory Technician,Very High,Single,2871,23785,1,No,15,Excellent,3,0,1,5,Better,0,0,0,0
145,51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,Low,Female,30,Medium,3,Healthcare Representative,Low,Single,7484,25796,3,No,20,Outstanding,3,0,23,1,Good,13,12,12,8
147,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,Low,Male,66,Low,2,Laboratory Technician,High,Single,6074,22887,1,Yes,24,Outstanding,4,0,9,3,Better,9,7,0,6
150,24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,Medium,Male,52,High,1,Laboratory Technician,High,Married,2774,13257,0,No,12,Excellent,3,1,6,2,Better,5,3,1,2
151,34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,High,Female,45,Medium,2,Research Scientist,Medium,Divorced,4505,15000,6,No,15,Excellent,3,1,12,3,Better,1,0,0,0
155,36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,Low,Female,39,High,1,Laboratory Technician,Very High,Divorced,2835,2561,5,No,22,Outstanding,1,1,7,2,Better,1,0,0,0
159,30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,Low,Male,96,Low,1,Research Scientist,High,Divorced,2613,22310,1,No,25,Outstanding,3,3,10,2,Good,10,7,0,9
161,56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,Medium,Female,72,High,1,Research Scientist,Medium,Married,4963,4510,9,Yes,18,Excellent,1,3,7,2,Better,5,4,4,3
164,26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,High,Female,46,Medium,1,Research Scientist,Medium,Married,2368,23300,1,No,19,Excellent,3,0,5,3,Good,5,4,4,3
165,58,Yes,Travel_Rarely,147,Research & Development,23,Master,Medical,Very High,Female,94,High,3,Healthcare Representative,Very High,Married,10312,3465,1,No,12,Excellent,4,1,40,3,Good,40,10,15,6
169,22,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,High,Male,100,High,1,Laboratory Technician,Very High,Married,2523,19299,0,No,14,Excellent,3,1,3,2,Better,2,1,2,1
171,43,No,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,Medium,Female,72,Very High,1,Research Scientist,High,Single,4739,16090,4,No,12,Excellent,4,0,18,2,Better,3,2,1,2
190,32,Yes,Travel_Rarely,1033,Research & Development,9,Bachelor,Medical,Low,Female,41,High,1,Laboratory Technician,Low,Single,4200,10224,7,No,22,Outstanding,1,0,10,2,Best,5,4,0,4
192,45,No,Travel_Rarely,1316,Research & Development,29,Bachelor,Medical,High,Male,83,High,1,Research Scientist,Very High,Single,3452,9752,5,No,13,Excellent,2,0,9,2,Good,6,5,0,3
193,38,No,Travel_Rarely,364,Research & Development,3,Doctor,Technical Degree,Very High,Female,32,High,2,Research Scientist,High,Single,4317,2302,3,Yes,20,Outstanding,2,0,19,2,Better,3,2,2,2
194,30,No,Travel_Rarely,438,Research & Development,18,Bachelor,Life Sciences,Low,Female,75,High,1,Research Scientist,High,Single,2632,23910,1,No,14,Excellent,3,0,5,4,Good,5,4,0,4
197,30,No,Travel_Rarely,201,Research & Development,5,Bachelor,Technical Degree,Very High,Female,84,High,1,Research Scientist,Low,Divorced,3204,10415,5,No,14,Excellent,4,1,8,3,Better,3,2,2,2
198,30,No,Travel_Rarely,1427,Research & Development,2,Below College,Medical,Medium,Male,35,Medium,1,Laboratory Technician,Very High,Single,2720,11162,0,No,13,Excellent,4,0,6,3,Better,5,3,1,2
200,41,No,Travel_Rarely,933,Research & Development,9,Master,Life Sciences,High,Male,94,High,1,Laboratory Technician,Low,Married,2238,6961,2,No,21,Outstanding,4,1,7,2,Better,5,0,1,4
201,19,No,Travel_Rarely,1181,Research & Development,3,Below College,Medical,Medium,Female,79,High,1,Laboratory Technician,Medium,Single,1483,16102,1,No,14,Excellent,4,0,1,3,Better,1,0,0,0
202,40,No,Travel_Frequently,1395,Research & Development,26,Bachelor,Medical,Medium,Female,54,High,2,Research Scientist,Medium,Divorced,5605,8504,1,No,11,Excellent,1,1,20,2,Better,20,7,2,13
206,45,No,Travel_Rarely,194,Research & Development,9,Bachelor,Life Sciences,Medium,Male,60,High,2,Laboratory Technician,Medium,Divorced,2348,10901,8,No,18,Excellent,3,1,20,2,Bad,17,9,0,15
214,58,No,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,Medium,Female,75,Medium,1,Research Scientist,Medium,Married,3346,11873,4,Yes,20,Outstanding,2,1,9,3,Good,1,0,0,0
217,22,No,Travel_Rarely,1256,Research & Development,19,Below College,Medical,High,Male,80,High,1,Research Scientist,Very High,Married,2323,11992,1,No,24,Outstanding,1,2,2,6,Better,2,2,2,2
218,27,No,Non-Travel,691,Research & Development,9,Bachelor,Medical,Very High,Male,57,High,1,Research Scientist,Medium,Divorced,2024,5970,6,No,18,Excellent,4,1,6,1,Bad,2,2,2,2
221,28,No,Travel_Rarely,440,Research & Development,21,Bachelor,Medical,High,Male,42,High,1,Research Scientist,Very High,Married,2713,6672,1,No,11,Excellent,3,1,5,2,Bad,5,2,0,2
223,57,No,Travel_Rarely,334,Research & Development,24,College,Life Sciences,High,Male,83,Very High,3,Healthcare Representative,Very High,Divorced,9439,23402,3,Yes,16,Excellent,2,1,12,2,Bad,5,3,1,4
224,27,No,Non-Travel,1450,Research & Development,3,Bachelor,Medical,High,Male,79,Medium,1,Research Scientist,High,Divorced,2566,25326,1,Yes,15,Excellent,4,1,1,2,Good,1,1,0,1
227,41,No,Travel_Rarely,465,Research & Development,14,Bachelor,Life Sciences,Low,Male,56,High,1,Research Scientist,High,Divorced,2451,4609,4,No,12,Excellent,1,1,13,2,Better,9,8,1,8
231,32,No,Travel_Rarely,120,Research & Development,6,Doctor,Life Sciences,High,Male,43,High,1,Research Scientist,High,Single,3038,12430,3,No,20,Outstanding,1,0,8,2,Better,5,4,1,4
233,27,No,Travel_Rarely,1157,Research & Development,17,Bachelor,Technical Degree,High,Male,51,High,1,Research Scientist,Medium,Married,3058,13364,0,Yes,16,Excellent,4,1,6,3,Good,5,2,1,1
238,36,No,Travel_Frequently,1480,Research & Development,3,College,Medical,Very High,Male,30,High,1,Laboratory Technician,Medium,Single,2088,15062,4,No,12,Excellent,3,0,13,3,Good,8,7,7,2
239,30,No,Non-Travel,111,Research & Development,9,Bachelor,Medical,High,Male,66,High,2,Laboratory Technician,Low,Divorced,3072,11012,1,No,11,Excellent,3,2,12,4,Better,12,9,6,10
241,56,No,Travel_Rarely,713,Research & Development,8,Bachelor,Life Sciences,High,Female,67,High,1,Research Scientist,Low,Divorced,4257,13939,4,Yes,18,Excellent,3,1,19,3,Better,2,2,2,2
242,33,No,Travel_Rarely,134,Research & Development,2,Bachelor,Life Sciences,High,Male,90,High,1,Research Scientist,Very High,Single,2500,10515,0,No,14,Excellent,1,0,4,2,Best,3,1,0,2
