EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,HourlyRate,JobLevel,JobRole,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobCategory,Education_Text,EnvironmentSat_Text,JobInvolvement_Text,JobSatisfaction_Text,PerformanceRating_Text,RelationshipSat_Text,WorkLifeBalance_Text
2,49,No,Travel_Frequently,279,Research & Development,8,Life Sciences,1,Male,61,2,Research Scientist,Married,5130,24907,1,Y,No,23,80,1,10,3,10,7,1,7,Tech,Below College,High,Medium,Medium,Outstandingß,Very High,Better
4,37,Yes,Travel_Rarely,1373,Research & Development,2,Other,1,Male,92,1,Laboratory Technician,Single,2090,2396,6,Y,Yes,15,80,0,7,3,0,0,0,0,Tech,College,Very High,Medium,High,Excellent,Medium,Better
5,33,No,Travel_Frequently,1392,Research & Development,3,Life Sciences,1,Female,56,1,Research Scientist,Married,2909,23159,1,Y,Yes,11,80,0,8,3,8,7,3,0,Tech,Master,Very High,High,High,Excellent,High,Better
7,27,No,Travel_Rarely,591,Research & Development,2,Medical,1,Male,40,1,Laboratory Technician,Married,3468,16632,9,Y,No,12,80,1,6,3,2,2,2,2,Tech,Below College,Low,High,Medium,Excellent,Very High,Better
8,32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,1,Male,79,1,Laboratory Technician,Single,3068,11864,0,Y,No,13,80,0,8,2,7,7,3,6,Tech,College,Very High,High,Very High,Excellent,High,Good
10,59,No,Travel_Rarely,1324,Research & Development,3,Medical,1,Female,81,1,Laboratory Technician,Married,2670,9964,4,Y,Yes,20,80,3,12,3,1,0,0,0,Tech,Bachelor,High,Very High,Low,Outstandingß,Low,Good
11,30,No,Travel_Rarely,1358,Research & Development,24,Life Sciences,1,Male,67,1,Laboratory Technician,Divorced,2693,13335,1,Y,No,22,80,1,1,2,1,0,0,0,Tech,Below College,Very High,High,High,Outstandingß,Medium,Better
13,36,No,Travel_Rarely,1299,Research & Development,27,Medical,1,Male,94,2,Healthcare Representative,Married,5237,16577,6,Y,No,13,80,2,17,3,7,7,7,7,Tech,Bachelor,High,High,High,Excellent,Medium,Good
14,35,No,Travel_Rarely,809,Research & Development,16,Medical,1,Male,84,1,Laboratory Technician,Married,2426,16479,0,Y,No,13,80,1,6,5,5,4,0,3,Tech,Bachelor,Low,Very High,Medium,Excellent,High,Better
15,29,No,Travel_Rarely,153,Research & Development,15,Life Sciences,1,Female,49,2,Laboratory Technician,Single,4193,12682,0,Y,Yes,12,80,0,10,3,9,5,0,8,Tech,College,Very High,Medium,High,Excellent,Very High,Better
16,31,No,Travel_Rarely,670,Research & Development,26,Life Sciences,1,Male,31,1,Research Scientist,Divorced,2911,15170,1,Y,No,17,80,1,5,1,5,2,4,3,Tech,Below College,Low,High,High,Excellent,Very High,Good
18,34,No,Travel_Rarely,1346,Research & Development,19,Medical,1,Male,93,1,Laboratory Technician,Divorced,2661,8758,0,Y,No,11,80,1,3,2,2,2,1,2,Tech,College,Medium,High,Very High,Excellent,High,Better
19,28,Yes,Travel_Rarely,103,Research & Development,24,Life Sciences,1,Male,50,1,Laboratory Technician,Single,2028,12947,5,Y,Yes,14,80,0,6,4,4,2,0,3,Tech,Bachelor,High,Medium,High,Excellent,Medium,Better
21,32,No,Travel_Rarely,334,Research & Development,5,Life Sciences,1,Male,80,1,Research Scientist,Divorced,3298,15053,0,Y,Yes,12,80,2,7,5,6,2,0,5,Tech,College,Low,Very High,Medium,Excellent,Very High,Good
22,22,No,Non-Travel,1123,Research & Development,16,Medical,1,Male,96,1,Laboratory Technician,Divorced,2935,7324,1,Y,Yes,13,80,2,1,2,1,0,0,0,Tech,College,Very High,Very High,Very High,Excellent,Medium,Good
24,38,No,Travel_Rarely,371,Research & Development,2,Life Sciences,1,Male,45,1,Research Scientist,Single,3944,4306,5,Y,Yes,11,80,0,6,3,3,2,1,2,Tech,Bachelor,Very High,High,Very High,Excellent,High,Better
30,21,No,Travel_Rarely,391,Research & Development,15,Life Sciences,1,Male,96,1,Research Scientist,Single,1232,19281,1,Y,No,14,80,0,0,6,0,0,0,0,Tech,College,High,High,Very High,Excellent,Very High,Better
31,34,Yes,Travel_Rarely,699,Research & Development,6,Medical,1,Male,83,1,Research Scientist,Single,2960,17102,2,Y,No,11,80,0,8,2,4,2,1,3,Tech,Below College,Medium,High,Low,Excellent,High,Better
33,32,Yes,Travel_Frequently,1125,Research & Development,16,Life Sciences,1,Female,72,1,Research Scientist,Single,3919,4681,1,Y,Yes,22,80,0,10,5,10,2,6,7,Tech,Below College,Medium,Low,Low,Outstandingß,Medium,Better
36,44,No,Travel_Rarely,477,Research & Development,7,Medical,1,Female,42,3,Healthcare Representative,Married,10248,2094,3,Y,No,14,80,1,24,4,22,6,5,17,Tech,Master,Low,Medium,Very High,Excellent,Very High,Better
39,33,No,Travel_Rarely,924,Research & Development,2,Medical,1,Male,78,1,Laboratory Technician,Single,2496,6670,4,Y,No,11,80,0,7,3,1,1,0,0,Tech,Bachelor,High,High,Very High,Excellent,Very High,Better
40,44,No,Travel_Rarely,1459,Research & Development,10,Other,1,Male,41,2,Healthcare Representative,Married,6465,19121,2,Y,Yes,13,80,0,9,5,4,2,1,3,Tech,Master,Very High,High,Very High,Excellent,Very High,Bestß
41,30,No,Travel_Rarely,125,Research & Development,9,Medical,1,Male,83,1,Laboratory Technician,Single,2206,16117,1,Y,No,13,80,0,10,5,10,0,1,8,Tech,College,Very High,Medium,High,Excellent,Low,Better
